sim1	sim2	equ	niche_overlap_F$D	niche_overlap_T$D	stability.index	expansion.index	unfilling.index	species	threshold
0.00990099	0.00990099	0.00990099	0.401669279	0.469963073	NaN	NaN	NaN	vidmac	1
0.00990099	0.00990099	0.00990099	0.401669279	0.469963073	NaN	NaN	NaN	vidmac	0.95
0.00990099	0.01980198	0.00990099	0.401669279	0.469963073	NaN	NaN	NaN	vidmac	0.9
0.00990099	0.00990099	0.00990099	0.401669279	0.469963073	NaN	NaN	NaN	vidmac	0.85
0.00990099	0.00990099	0.00990099	0.401669279	0.469963073	1	0	0	vidmac	0.8
0.00990099	0.00990099	0.00990099	0.401669279	0.469963073	1	0	0.115724294	vidmac	0.75
0.00990099	0.00990099	0.00990099	0.401669279	0.469963073	1	0	0.149410109	vidmac	0.7
0.00990099	0.00990099	0.00990099	0.401669279	0.469963073	1	0	0.159001114	vidmac	0.65
0.00990099	0.00990099	0.00990099	0.401669279	0.469963073	1	0	0.14747133	vidmac	0.6
0.00990099	0.00990099	0.00990099	0.401669279	0.469963073	1	0	0.139662515	vidmac	0.55
0.00990099	0.01980198	0.00990099	0.401669279	0.469963073	1	0	0.145546678	vidmac	0.5
0.00990099	0.01980198	0.00990099	0.401669279	0.469963073	1	0	0.154141315	vidmac	0.45
0.00990099	0.02970297	0.00990099	0.401669279	0.469963073	1	0	0.169199656	vidmac	0.4
0.00990099	0.00990099	0.00990099	0.401669279	0.469963073	1	0	0.185085497	vidmac	0.35
0.00990099	0.00990099	0.00990099	0.401669279	0.469963073	0.997967562	0.002032438	0.199953671	vidmac	0.3
0.00990099	0.00990099	0.00990099	0.401669279	0.469963073	0.995850548	0.004149452	0.214564226	vidmac	0.25
0.00990099	0.01980198	0.00990099	0.401669279	0.469963073	0.99592777	0.00407223	0.223311705	vidmac	0.2
0.00990099	0.00990099	0.00990099	0.401669279	0.469963073	0.993745212	0.006254788	0.253759072	vidmac	0.15
0.00990099	0.00990099	0.00990099	0.401669279	0.469963073	0.991569998	0.008430002	0.256808384	vidmac	0.1
0.00990099	0.01980198	0.00990099	0.401669279	0.469963073	0.991569998	0.008430002	0.277727249	vidmac	0.05
0.00990099	0.00990099	0.00990099	0.401669279	0.469963073	0.991569998	0.008430002	0.295356856	vidmac	0
0.445544554	0.445544554	1	0.002829377	0.001735648	NaN	NaN	NaN	syrrev	1
0.465346535	0.435643564	1	0.002829377	0.001735648	NaN	NaN	NaN	syrrev	0.95
0.386138614	0.475247525	1	0.002829377	0.001735648	NaN	NaN	NaN	syrrev	0.9
0.435643564	0.445544554	1	0.002829377	0.001735648	NaN	NaN	1	syrrev	0.85
0.326732673	0.524752475	1	0.002829377	0.001735648	NaN	NaN	1	syrrev	0.8
0.346534653	0.485148515	1	0.002829377	0.001735648	NaN	NaN	1	syrrev	0.75
0.396039604	0.475247525	1	0.002829377	0.001735648	NaN	NaN	1	syrrev	0.7
0.326732673	0.495049505	1	0.002829377	0.001735648	1	0	0.998753457	syrrev	0.65
0.485148515	0.475247525	1	0.002829377	0.001735648	1	0	0.998255388	syrrev	0.6
0.386138614	0.415841584	1	0.002829377	0.001735648	1	0	0.998073622	syrrev	0.55
0.346534653	0.544554455	1	0.002829377	0.001735648	0.849795946	0.150204054	0.997315747	syrrev	0.5
0.435643564	0.534653465	1	0.002829377	0.001735648	0.426039801	0.573960199	0.996983622	syrrev	0.45
0.405940594	0.524752475	1	0.002829377	0.001735648	0.267930182	0.732069818	0.997187285	syrrev	0.4
0.445544554	0.544554455	1	0.002829377	0.001735648	0.228594382	0.771405618	0.997299711	syrrev	0.35
0.386138614	0.445544554	1	0.002829377	0.001735648	0.217362706	0.782637294	0.997348911	syrrev	0.3
0.425742574	0.425742574	1	0.002829377	0.001735648	0.183202888	0.816797112	0.997391251	syrrev	0.25
0.415841584	0.455445545	1	0.002829377	0.001735648	0.140655951	0.859344049	0.997416823	syrrev	0.2
0.396039604	0.514851485	1	0.002829377	0.001735648	0.101142091	0.898857909	0.997431115	syrrev	0.15
0.405940594	0.524752475	1	0.002829377	0.001735648	0.076916501	0.923083499	0.997438428	syrrev	0.1
0.415841584	0.504950495	1	0.002829377	0.001735648	0.053750984	0.946249016	0.997440774	syrrev	0.05
0.425742574	0.425742574	1	0.002829377	0.001735648	0.037863658	0.962136342	0.997442862	syrrev	0
0.346534653	0.138613861	0.811881188	0.000682071	0.002774125	NaN	NaN	NaN	psikra	1
0.366336634	0.158415842	0.811881188	0.000682071	0.002774125	NaN	NaN	NaN	psikra	0.95
0.376237624	0.168316832	0.752475248	0.000682071	0.002774125	NaN	NaN	NaN	psikra	0.9
0.396039604	0.188118812	0.801980198	0.000682071	0.002774125	1	0	0	psikra	0.85
0.366336634	0.128712871	0.742574257	0.000682071	0.002774125	0.932915329	0.067084671	0	psikra	0.8
0.405940594	0.217821782	0.782178218	0.000682071	0.002774125	0.823064388	0.176935612	0	psikra	0.75
0.455445545	0.089108911	0.762376238	0.000682071	0.002774125	0.717045542	0.282954458	0	psikra	0.7
0.297029703	0.178217822	0.792079208	0.000682071	0.002774125	0.639171596	0.360828404	0	psikra	0.65
0.396039604	0.138613861	0.861386139	0.000682071	0.002774125	0.585585426	0.414414574	0	psikra	0.6
0.346534653	0.099009901	0.792079208	0.000682071	0.002774125	0.531079596	0.468920404	0	psikra	0.55
0.336633663	0.158415842	0.831683168	0.000682071	0.002774125	0.513190662	0.486809338	0	psikra	0.5
0.396039604	0.188118812	0.742574257	0.000682071	0.002774125	0.502499615	0.497500385	0	psikra	0.45
0.376237624	0.148514851	0.851485149	0.000682071	0.002774125	0.495711114	0.504288886	0	psikra	0.4
0.297029703	0.158415842	0.851485149	0.000682071	0.002774125	0.49486986	0.50513014	0.000333865	psikra	0.35
0.386138614	0.108910891	0.772277228	0.000682071	0.002774125	0.4939667	0.5060333	0.000305013	psikra	0.3
0.405940594	0.178217822	0.801980198	0.000682071	0.002774125	0.492902004	0.507097996	0.001310711	psikra	0.25
